Source,Source_Lat,Source_Lon,Destination,Dest_Lat,Dest_Lon,Distance_Meters
11,23.0368378,72.546354,EXAMINATION CENTRE,23.0369791,72.5463513,15.71
12,23.0360464,72.5451939,DEPARTMENT OF COMPUTER SCIENCE,23.0360597,72.5452603,6.95
12,23.0360464,72.5451939,9,23.0356308,72.5450749,47.79
12,23.0360464,72.5451939,10,23.0363287,72.5452492,31.9
13,23.0367946,72.545384,10,23.0363287,72.5452492,53.61
13,23.0367946,72.545384,11,23.0368378,72.546354,99.37
13,23.0367946,72.545384,14,23.0375379,72.5456056,85.71
14,23.0375379,72.5456056,13,23.0367946,72.545384,85.71
14,23.0375379,72.5456056,39,23.0376421,72.5467714,119.85
14,23.0375379,72.5456056,19,23.0380738,72.5457468,61.32
14,23.0375379,72.5456056,20,23.0374897,72.5448888,73.54
15,23.0384882,72.545843,16,23.0390494,72.5459238,62.95
15,23.0384882,72.545843,19,23.0380738,72.5457468,47.12
15,23.0384882,72.545843,40,23.0384752,72.5455362,31.43
16,23.0390494,72.5459238,15,23.0384882,72.545843,62.95
16,23.0390494,72.5459238,MAHATMA GANDHI GATE,23.0389503,72.5467308,83.31
16,23.0390494,72.5459238,17,23.0392144,72.5448801,108.36
17,23.0392144,72.5448801,16,23.0390494,72.5459238,108.36
17,23.0392144,72.5448801,18,23.0395887,72.5440463,94.93
17,23.0392144,72.5448801,26,23.0395717,72.5440543,93.37
18,23.0395887,72.5440463,17,23.0392144,72.5448801,94.93
18,23.0395887,72.5440463,25,23.0383669,72.5441177,136.05
18,23.0395887,72.5440463,40,23.0384752,72.5455362,196.4
19,23.0380738,72.5457468,15,23.0384882,72.545843,47.12
19,23.0380738,72.5457468,14,23.0375379,72.5456056,61.32
20,23.0374897,72.5448888,14,23.0375379,72.5456056,73.54
20,23.0374897,72.5448888,23,23.0374453,72.5442065,69.99
21,23.037039,72.5446813,22,23.0370556,72.5442367,45.53
22,23.0370556,72.5442367,21,23.037039,72.5446813,45.53
